comment_id,Comment
5,djfjkdfjkjkffdk edited
41,Faith has exhibited enthusiasm in taking on the project at hand. She has already shown promising signs in understanding the core concepts of software engineering. I look forward discovering more as time goes on.
49,He now has now understood the structure of grails and how different components relate. Understands the process of getting API's from MTN
50,"The Intern was oriented on ICT setup and Infrastructure of Soroti University, drafted workplan and started off the Internship. Simon was encouraged to take the Internship seriously as there was a lot to learn."
52,"The student was oriented on the organization structure, developed workplan for the 4 week internship and participated in assessment of printers for servicing.  He acquired both technical and teamwork skills at workplace."
53,Activities well completed
54,finished on time
55,"The student's weekly progress was justifiably good, characterized with enthusiasm to learning more."
56,Noted
57,"She found this very interesting as she was able to identify, know problems associated an his to overcome them."
58,"Partially done, expected a better result based on Steven's experienced. More effort needed ..."
63,Done to partial satisfaction. Hopefully learning points were picked.
65,Confirmed done as specified.
66,"He faced some problem of identifying the symbols, and other parts but he asked questions and made an effort to learn. Very good"
68,"This activity took some time to be completed, but it was completed to my satisfaction."
71,"He knows the requirements of how and his to install, setting up a network and managing it."
80,"A little delays and constant supervision. The task has been finally completed, and reviewed by the line supervisor. Good job Mahad."
85,He seemed not to have an idea about setting up a structured network but now I know he can do a lot more
88,"Student learnt and demonstrated system administration skill by creating emails for drivers, performed data backups, and troubleshooting of computer hardware and local area network."
96,Noted and tasks completed
97,"Stephen was diligent in his work. He made effort to resolve issues that were assigned to him.

He has a quick understanding of technical problems and he tries his best to solve them independently. 

Stephen is a quick learner and he has great future ahead of him in the software engineering field."
99,Noted and confirmed
100,He has very good knowledge of the whole process of installation.
102,Learning target achieved
120,She has knowledge of this topic and can identify and use the devices
124,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I  wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started."
126,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started."
142,"He was still having problems with using Jquery and Vue JS on the same interface, I advised him to use different master pages and only use the same CSS on both to avoid conflicts. But he is still working, it is steady progress"
144,Good attitude and resilience. This is a good start
147,He is very interested in learning new things like the commands for system admins and other things otherwise very well performed
148,Good progress. I expect more from the student as we work together during this period.
149,Good time keeper with much interest on networks
160,"Maintains good working relationships with coworkers.
Has a good attendance record.
Error rate is acceptable, and all work is completed timely."
168,Took him some time to catch up with UNIX commands but great performance
220,"He's a quick learner, has a few ideas on the wordpress tasks and he's copying well."
225,"The student was able to install printer drivers. He was able to demonstrate file transfer through file access links on different computers. He was able to identify the compatible RAM  for the computer in question. He also was able to create rules to folders in MS outlook 2010.
With more practice, he will be able to operate with minimal supervision."
231,She needs more practice otherwise very interested
236,She knows about her hardware and can identify and troubleshoot related problems
252,"The student is well organized, willing to learn and innovative"
253,"As stated, the internet blackout halted progress."
259,"She has already learned the basics of data analysis in pandas, which is key to the main task which is developing data visualizations. 
She has also presented a conceptual model for the API design for the data that will be required to implement the dashboards."
263,This part was challenging to him especially with the configurations and terminations otherwise he makes effort to see that things work at the end of it all
264,"I gave him a task to work (improve) on the front end of a system that is already in production at this company, and he has been progressing well, I realized he knows some programming concepts, so I need to introduce him to real-world problems so he can find solutions to them. He is generally doing well, he will ask where he does not understand."
265,He has some knowledge about IP addresses and now is able to put them in practice
281,quite impressive
283,This week went well. Had a fair amount of tech debt clearance and some feature additions.
284,This week had good development momentum. No issues from me.
285,He knows about IP addresses which is very good and now I believe he knows how to enter them and interconnect and configure different devices
286,This week had slower momentum due to some miscalculations on our part.
287,This week's work was mostly about reducing tech debt and improving pull request quality. There is a lot of progress being made on this front by all team members.
288,No notable issues came up to my attention in regard to tasks execution. I am also happy that Benjamin gets to help out on pull request reviews.
290,Tasks execution went well. No notable issues from me per their execution.
291,OK
293,This weeks progress was derailed due to Health issues by Benjamin. We hope next week will be better.
296,Tasks execution went well. No notable issues from me per their execution.
299,Good attempt and great enthusiasm
302,This was new to him but now is well knowledgeable about setting up a network
309,The student acquired skills in networks. Simon was very participative and inquisitive to learn more.
310,She can identify and troubleshoot the different components of a UPS
311,The student acquired hands on skills on installation and configuration of network devices and network layout.
312,She has performed well as she is asking and contributing to the identification and solving problems associated with a UPS
313,She is now knowledgeable about the different symbols associated with a UPS
314,She is able to identify the different parts of a computer. Very good
315,She has performed very well as she can identity the different components
317,She has the knowledge but finds difficulty when starting the installation process
318,She has performed this very well with no hardship
319,The process is kind of challenging especially with the bios page otherwise during the installation she follows quite well
320,She needs more practice in terminating cables otherwise has knowledge of networking
321,She has learnt how the aspects of wireless networks work and can put them in practice
322,This is new to her but is serious on knowing what should be done
323,Notable presence of passion for graphics design and development
324,She quickly adapted to the use of Javascript for front end development however if possible more research in that direction would increase perfection hence help her to work faster
328,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP  With this he is good to go, Next is going to be combining JS, PHP, MySQL, and HTML. This will put him at a level of programming small projects for the start."
329,Student started learning how to deal in corporate environments.
330,"The student took on a new language and development platform - Django and Python and progressed well on a weekly basis, managing to develop a task management application for the development unit."
331,Good start. More research needed.
332,Good attitude towards challenges and willingness to learn. Well done.
333,"MS Angella is very smart, articulate, calm, ready to learn and willing to face the challenge. Ms Angella settles in well with the existing team who warmly welcomed her. Good luck with this attachment."
334,"Some more bug fixes and task finally completed. A report submitted, and I have reviewed the task. I should say, this was good progress."
335,"Also setup cPanel, uploaded the site files and enabled SSL. 
A few bugs to be sorted though."
336,Well done
341,The configuration were done successful as expected
342,She has mastered her hardware knowledge and now can identify and troubleshoot problems
343,OK
345,"This includes how an Office telephone extension if created 
I)	Placing the telephone set in position
II)	Terminating the cable connecting the desk top phone to the general network running to the PABX.
III)	Creating the extension number
IV)	Configuring it for a desk phone
V)	Fixing a card on a server(PBX)

The student also did work concerning printer basic management. This included replenishing a printer's tonner.
The trainee also replaced  a laptop's Micro-processor."
346,student started on development.
347,"Doing computer revision was great. I found out that the University had done a great job in the area of computer studies, which made my work a lot more easier during the internship."
348,He has been given an assignment to work on his personal website in wordpress and has to post news on on the channel 44 website on a daily basis. He's copying well.
360,The student participated in ToT in Moodle LMS. He acquired administrative skills to manage Moodle LMS
361,This was king kind of new to her but put it into practice very well.
363,She is very well knowledgeable and asks when not sure of something.
364,"She has performed very well in the whole process of setting up a network, assigning IP addresses to sharing resources. Keep it up"
365,She is catching up very well as she contributes and asks questions were she doesn't know. Very good work done
366,student understood the importance of software drivers and was able to distinguish printer drivers based on printer models. Student was also able to understand and use inbuilt windows utility tools.
378,He knows how to identify a particular system especially a UPS but found if challenging to point out specific components which am sure now can do very well
379,Noted and well done.
380,He performed very well as he is able to setup a network and share resources
381,Done to the supervisor's satisfaction.
382,He is putting in effort and understands the concept of resource sharing
383,He is familiar with this concept of routers as he was able to execute the work given very well
384,Done
385,This was completed to my satisfaction
386,"He is understanding the concept of networking very well and can setup, share from both wired and wireless networks"
387,She is very determined to know were she has a problem as she asks
388,Great enthusiasm and self drive.
389,Tasks well done. Good work
390,He is very inquisitive and committed to the learning process
391,Actively involved him self in the tasks
392,Student performed well.
393,Student developed database.
394,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP, With this, he is good to go."
399,Completed to my satisfaction
400,Completed within the time frame specified.
401,Competed to my satisfaction.
402,Completed to my satisfaction
403,Good work by the student
404,Student master the principles faster. He delivers the right thing and on time.
406,He has the interest of learning new and challenging things as he was able to understand and implement wireless networks
407,Good attitude and enthusiasm
408,Good resilience traits and team work
414,"At the end of that week, he presented a complete definition of the User interface that all stakeholders liked. All pages were well aligned and presentable, he was putting custom CSS and bootstrap together with back end data."
415,Accomplished the tasks and the websites were tested locally
416,Implemented mobile money payment from a third party provider. He has to use an API from MTN for a more feasible solution
417,"I am impressed by Belinda's front end skills and ability to design information systems.
She has managed to analyze the data that was handed to her and generate UI wireframes for the visualization in a web application"
418,"The enthusiasm to learn that has been displayed and exercised is a good indicator of a serious person/student. Keep it up, Ms Angella. The sky will be the limit if this attitude is taken up in your upcoming career."
422,Successfully finished the tasks
423,Active in all tasks available
437,Forms were developed
438,quite impresive and on time
439,Developed website
445,He now knows the importance of a network and how to share resources
453,OK
455,OK
456,OK
457,Very much eager to learn and involve her self more in the activities
458,OK
469,"- Good attitude and reception towards learning new things. 
- She was able to ask for help whenever she needed it."
470,The pizza system has come a long way and it seems to have helped her learn how to navigate challenges. I would like to see it implemented in the business world in future if possible
471,student progressed well.
472,Checked and completed
473,Checked and completed
474,He understood the concept of hardware very well given his prior knowledge about some of the things.
475,This was new to him but nevertheless he managed to implement each aspect we talked about. Good work done
476,He knows things to do with IP addresses theoretically but now am sure he know his to apply them too
477,He is very determined yo learn new things as most of the things talked about were new. Otherwise very good listener
478,This was a bit challenging in the beginning but picked up and understood the concept
479,She is a quick learner and can put things into practice
482,Bridget was a very smart and active intern who showed interest in her assignments. She was always asking questions and very inquisitive though she had some difficulty with the terms used in the office. She has a high spirit of team work and was getting along with the staff well. She exhibited very good knowledge in networks and was good in application of networking skills. I noticed she pays close attention to instructions given to her and she was on track. I am very confident that her internship is going to be valuable because she is very disciplined and always seeking new ideas and knowledge.
493,"Namugema is very focused and good at time management. The tasks given to her were assessed and she was excellent and submitted them in time despite the internet shut down. She is always seeking  feedback and positively responds to criticism. She did all of the tasks asked of her and more. She felt comfortable enough to trust her instincts and handled many situations which alleviated much of our work load. I and the staff were all very impressed by her ability to assess the work and get things accomplished in a short work day. Our department trusted her to deal with device and network troubleshooting on her own, and she always delivered above and
beyond. I expected her to come in each day and know exactly what had to get done. She also did this with ease and was great about updating me, asked intelligent questions and picked everything up very quickly, which was the biggest advantage. She surpassed all expectations and really ran with everything we handed to her. I was very impressed with her communication, leadership, self-driven skills and traits as well as commitment to her work. There are times when she could report a bit late but used the time when in the office productively and accomplished a lot in the short time she was available. She was helpful to the staff and gave assistance."
499,"Namugema is highly intelligent, well organized, and motivated to work on varied assignments. Billbrain Technologies Ltd and staff were very impressed with her work ethics, enthusiasm, and drive. As indicated above she demonstrated a good base knowledge which allowed us to assign our internal financial transactions management system design and analysis to her to work our project team. Her work product was thorough, attention to detail was exceptional and she will a dedicated and ideal employee or leader to any company considering her for employment."
501,"Namugema Bridget has served as an intern with particular distinction. Her initiative to learn about business processes and do more hands on for system design was commendable. Bridget has great organizational skills, uses initiative and always follows through. I believe it has been a positive learning experience, learning some basic business etiquette (especially in a hierarchical
institution).  Awesome leadership skills, computer competency, very good communication skills, great team player and cooperation, fantastic time management, hardworking spirit are a great description of Bridget. Her internship time has been remarkable and we look forward to working with her any time. Overall she is an excellent intern and has been resourceful. She surely deserves an A"
510,"Sherinah is conscientious and confident in her work, she's a very personable individual, has very good work ethics and follows direction well. she's so inquisitive and always demands to know more about new things concerning the tasks given and asks questions on different sides of life.

she's was much more conversant with networking and had most of the networking skills and she was good at it.

Sherinah has been disciplined and a very passionate woman who wants to learn and improve on herself every day.

Its an Excellent for me."
520,"Nantambi Sherinah displayed strong organizational skills. These combined with outstanding social skills and a dedicated work ethic made her an outstanding asset to our IT team, so intelligent and committed to the work, Her sense of purpose and professionalism
will see her far in the career path of her choice, she could take more initiative, self-confidence, excellent prospects. she clearly showed a genuine interests during her tasks and could submit them in time as expected. she was a good time keeper that is to say, she could make it  to the office early in the morning in order to start up her given tasks, however there are days she used to come at the office a little bit late but she had strong evident reasons, she is confident and self driven, she's has got leadership skills and good communication skills as well.
its a pleasure to work with her because she is very diligent, responsible. has great ideas and besides all that, her verbal communication skills have improved greatly since the 1st day she started her internship."
526,"Nantambi is a quick learner and continues to learn all of the aspects of working on on-line learning. There is a wide range of work to be done at Billbrain Technologies and thus far, she has jumped in head-first to learn the many aspects of the company. she recently requested additional work which shows me she is confident in her capabilities. she is an excellent asset to our company (BILLBRAIN TECHNOLOGIES LDT) and brought new and innovative ideas to the table. she will be greatly missed. she has served as an intern with particular distinction. she is highly intelligent, very well organized, and motivated to work on varied assignments. Very hard working, good ideas; needs a little work on taking constructive criticism, she is a tremendous help to us that is to say, she was able to put together all of the information that was needed in a precise research and computer skills, communication skills are some of the best I've seen in her. she makes a difficult task look easy, and can articulate her findings with extreme clarity. she is always willing to do whatever needs to be done and has a great personality.

 she's a great intern with a bright future."
528,A very committed Student. He's been able to finish his tasks on time
529,"Billbrain staff, stake holders and I are satisfied with Sherinah's overall performance. I certainly would consider her for a more permanent job in the future, she did all of the tasks asked of her and more. She felt comfortable enough
to trust her instincts and handled many situations which alleviated much of our work load. We were all very impressed by her ability to assess the work and get things accomplished in a short work day. Our IT department trusted her to deal with our Websites with her intern team, and they  always delivered above and beyond. I expected Nantambi to come in each day and know exactly what had to get done. She also did this with ease and was great about updating me, asked
intelligent questions and picked everything up very quickly, which was the biggest advantage. She surpassed all expectations and really ran with everything we handed to her.
I would like to express what an amazing intern Nantambi Sherinah was for me and our for the short period we interacted with her, truly one of a kind. She was unbelievably responsible, poised, professional, personable, and a great team member!  she did an excellent job during her internship program. She shows a strong desire to learn and great maturity. She was given many different tasks and completed all with little guidance. I believe that she has an amazing future ahead of her in information system and anywhere else. She is the type of person that people want to work with and be around which is rare. I hope she is
proud of what she accomplished here."
530,Great progress
531,"Good progress, he's a quick learner and very positive. He has been able to complete the assigned tasks in the required time period despite the difficulty in the internet connection."
535,All assignments well done.
565,"He is a quick learner,  completed the task, and meant the acceptance criteria.
He should improve on the speed of completing as many tasks as possible in a week.
He should improve on team work."
568,"The student was taken through the steps followed to configure desk phone extensions in an office. He was eager to learn and his level of enthusiasm reveals a good progress.
He was also taken through fixing of different errors on computers related to internal and peripheral components.
We are looking forward to giving him chance to more practice."
569,Good work.
570,He is serious and hardworking as he is able to make research of the things done before. Good work
573,The Intern attended with staff ToT on Moodle E-learning Management System were he acquired admin skills
574,The Intern participated in configuration of wireless networks where he showed confidence and skills in managing wireless networks.
575,She has the idea about these wireless networks and with more practice will become very good
578,All the above tasks were completed
586,She now knows the challenges with wireless networks and can deal with them
587,Tasks well completed.
589,Good attitude amidst challenges. Well done
590,"He has some bit of understanding of how Javascript works, and how it saves the user time and data as they move from page to page. He can send data from the user interface to the back end (Server-side) through Ajax."
591,She is picking up so well and with persistency will be excellent
592,She participates actively to see that she learns
593,Assignments well done. Good team work skills.
594,"Good attempt, more practice and research needed."
595,"Practically she is well versed with Microsoft office applications, which is widely used by many professionals."
596,"Student was able to deploy synology server and created server volumes, installed active directory server, active directory backup for business and create users and user groups.
Student also configured Mikrotic router and Lynksys router. There by demonstrating Network and server management skills.
Student equally prepared reports in excel and word processing about list of computers and the users."
597,The student acquired more hands on network skills in regards to wireless networks. He also participated in the installation and administration  of Proxmox Virtual environment and installation of Ubuntu 20.04 server
600,Willingness to learn and face new challenges with ease.
605,"Task well-executed, and delivered. Thank you, Mahad for the dedication."
607,Student developed well.
631,He is able to troubleshoot and fix a problem which is very good
651,The work was well done and with more practice will be better
667,"This week, he produced the animated front page, with attractive motions, the most important section (Pricing and subscription) was also added and it was fully functional."
728,He likes to encounter new things and pats attention to understand the ideas
731,"Given the desire to learn attributes, I can testify that Ms Angella can practically set up a basic LAN, WAN and Access control infrastructure. Thank you for putting theory to practice."
734,"During this period where there was a shortage of staff in the department, Ms Angella filled in the gap by setting up various laptops and in record time we managed to issue them to the end-users and projects personnel. Thank you for the tireless effort and delivery on time."
735,She did not do this at our company
740,Student acquired and demonstrated practical knowledge in networking by assigning IP addresses manually and understood the practical DHCP operation. Student also created users and user groups in the server  thus got familiar with  user management.
743,Good software developer and a quick learner.
746,"Successful in this week's tasks. He will now work with  YSAVE MEMBER SYSTEM, and improve the application"
752,Promising progress. Student takes effort to solve all challenges.
764,Database successfully created.
765,"He successfully created an HTML form, to capture student's records."
766,He successfully designed an eye catching interface using bootstrap and CSS
767,Douglas' ability to multitask makes him a promising developer. I wish him the very best.
768,He successfully created a database for a movie store
769,He successfully created an HTML form to capture students details
